Signal Name,Field,Width,Direction,Source,Active,Type,Logical Name,Constraint,Comments
reset_b,,1,in,system,L,async,,,
i_clk,,1,in,system,,clk,,,
i_irq,,1,in,system,H,pulse,,,
i_firq,,1,in,system,H,,,,
i_system_rdy,,1,in,system,H,,,,
o_jtag_pc,,32,out,a23_execute,,bus,,,
o_wb_adr,,32,out,a23_fetch,,bus,,,
o_wb_sel,,4,out,a23_fetch,,bus,,,
o_wb_we,,1,out,a23_fetch,H,pulse,,,
i_wb_dat,,32,in,system,,bus,,,
o_wb_dat,,32,out,a23_fetch,,bus,,,
o_wb_cyc,,1,out,a23_fetch,H,,,,
o_wb_stb,,1,out,a23_fetch,H,,,,
i_wb_ack,,1,in,system,H,,,,
i_wb_err,,1,in,system,H,,,,
o_cpuwait,,1,out,a23_fetch,H,,,,
