Signal Name,Field,Width,Direction,Source,Active,Type,Logical Name,Constraints,Comments
reset_b            ,,1,in,a23_core,,,,,
i_clk              ,,1,in,a23_core,,,,,
i_fetch_stall      ,,1,in,a23_fetch,,,,,
i_copro_opcode1    ,,3,in,a23_decode,,,,,
i_copro_opcode2    ,,3,in,a23_decode,,,,,
i_copro_crn        ,,4,in,a23_decode,,,,,
i_copro_crm        ,,4,in,a23_decode,,,,,
i_copro_num        ,,4,in,a23_decode,,,,,
i_copro_operation  ,,4,in,a23_decode,,,,,
i_copro_write_data ,,32,in,a23_decode,,,,,
i_fault            ,,1,in,a23_decode,,,,,
i_fault_status     ,,8,in,a23_decode,,,,,
i_fault_address    ,,32,in,a23_decode,,,,,
o_copro_read_data  ,,32,out,,,,,,
o_cache_enable     ,,1,out,,,,,,
o_cache_flush      ,,1,out,,,,,,
o_cacheable_area   ,,32,out,,,,,,
