Signal Name,Field,Width,Direction,Source,Active,Type,Logical Name,Constraints,Comments
reset_b                ,,1,in,a23_execute,,,,,
i_clk                  ,,1,in,a23_execute,,,,,
i_fetch_stall          ,,1,in,a23_execute,,,,,
i_rm_sel               ,,4,in,a23_execute,,,,,
i_rds_sel              ,,4,in,a23_execute,,,,,
i_rn_sel               ,,4,in,a23_execute,,,,,
i_pc_wen               ,,1,in,a23_execute,,,,,
i_reg_bank_wen         ,,15,in,a23_execute,,,,,
i_pc                   ,,24,in,a23_execute,,,,,
i_reg                  ,,32,in,a23_execute,,,,,
i_mode_idec            ,,2,in,a23_execute,,,,,
i_mode_exec            ,,2,in,a23_execute,,,,,
i_status_bits_flags    ,,4,in,a23_execute,,,,,
i_status_bits_irq_mask ,,1,in,a23_execute,,,,,
i_status_bits_firq_mask,,1,in,a23_execute,,,,,
i_firq_not_user_mode   ,,1,in,a23_execute,,,,,
i_mode_rds_exec        ,,4,in,a23_execute,,,,,
i_user_mode_regs_load  ,,1,in,a23_execute,,,,,
o_rm                   ,,32,out,,,,,,
o_rs                   ,,32,out,,,,,,
o_rd                   ,,32,out,,,,,,
o_rn                   ,,32,out,,,,,,
o_pc                   ,,32,out,,,,,,
