Signal Name,Field,Width,Direction,Source,Active,Type,Logical Name,Constraints,Comments
reset_b,,1,in,a23_core,L,async,,,
i_clk,,1,in,a23_core,,clock,,,
i_read_data,,32,in,a23_fetch,,,,,
i_execute_address,,32,in,a23_execute,,,,,
i_adex,,1,in,a23_execute,,,,,
i_iabt,,1,in,1'd0,,,,,
i_dabt,,1,in,1'd0,,,,,
i_abt_status,,8,in,8'd0,,,,,
o_read_data,,32,out,,,,,,
o_read_data_alignment,,5,out,,,,,,
i_irq,,1,in,a23_core,,,,,
i_firq,,1,in,a23_core,,,,,
i_fetch_stall,,1,in,a23_fetch,,,,,
i_execute_status_bits,,32,in,a23_execute,,,,,
i_multiply_done,,1,in,a23_execute,,,,,
o_status_bits_mode,,2,out,,,,,,
o_status_bits_irq_mask,,1,out,,,,,,
o_status_bits_firq_mask,,1,out,,,,,,
o_imm32,,32,out,,,,,,
o_imm_shift_amount,,5,out,,,,,,
o_shift_imm_zero,,1,out,,,,,,
o_condition,,4,out,,,,,,
o_exclusive_exec,,1,out,,,,,,
o_data_access_exec,,1,out,,,,,,
o_rm_sel,,4,out,,,,,,
o_rds_sel,,4,out,,,,,,
o_rn_sel,,4,out,,,,,,
o_barrel_shift_amount_sel,,2,out,,,,,,
o_barrel_shift_data_sel,,2,out,,,,,,
o_barrel_shift_function,,2,out,,,,,,
o_alu_function,,9,out,,,,,,
o_multiply_function,,2,out,,,,,,
o_interrupt_vector_sel,,3,out,,,,,,
o_address_sel,,4,out,,,,,,
o_pc_sel,,2,out,,,,,,
o_byte_enable_sel,,2,out,,,,,,
o_status_bits_sel,,3,out,,,,,,
o_reg_write_sel,,3,out,,,,,,
o_user_mode_regs_load,,1,out,,,,,,
o_user_mode_regs_store_nxt,,1,out,,,,,,
o_firq_not_user_mode,,1,out,,,,,,
o_write_data_wen,,1,out,,,,,,
o_base_address_wen,,1,out,,,,,,
o_pc_wen,,1,out,,,,,,
o_reg_bank_wen,,15,out,,,,,,
o_status_bits_flags_wen,,1,out,,,,,,
o_status_bits_mode_wen,,1,out,,,,,,
o_status_bits_irq_mask_wen,,1,out,,,,,,
o_status_bits_firq_mask_wen,,1,out,,,,,,
o_copro_opcode1,,3,out,,,,,,
o_copro_opcode2,,3,out,,,,,,
o_copro_crn,,4,out,,,,,,
o_copro_crm,,4,out,,,,,,
o_copro_num,,4,out,,,,,,
o_copro_operation,,2,out,,,,,,
o_copro_write_data_wen,,1,out,,,,,,
o_iabt_trigger,,1,out,,,,,,
o_iabt_address,,32,out,,,,,,
o_iabt_status,,8,out,,,,,,
o_dabt_trigger,,1,out,,,,,,
o_dabt_address,,32,out,,,,,,
o_dabt_status,,8,out,,,,,,
