Signal Name,Field,Width,Direction,Source,Active,Type,Logical Name,Constraints,Comments
reset_b,,1,in,a23_core,,,,,
i_clk,,1,in,a23_core,,,,,
i_read_data                ,,32,in,a23_decode,,,,,
i_read_data_alignment      ,,5,in,a23_decode,,,,,
i_copro_read_data          ,,32,in,a23_coprocessor,,,,,
o_write_data               ,,32,out,,,,,,
o_copro_write_data         ,,32,out,,,,,,
o_address                  ,,32,out,,,,,,
o_address_valid            ,,1,out,,,,,,
o_address_nxt              ,,32,out,,,,,,
o_adex                     ,,1,out,,,,,,
o_byte_enable              ,,4,out,,,,,,
o_data_access              ,,1,out,,,,,,
o_write_enable             ,,1,out,,,,,,
o_exclusive                ,,1,out,,,,,,
o_priviledged              ,,1,out,,,,,,
o_status_bits              ,,32,out,,,,,,
o_multiply_done            ,,1,out,,,,,,
jtag_pc                    ,,32,out,,,,,,
i_fetch_stall              ,,1,in,a23_fetch,,,,,
i_status_bits_mode         ,,2,in,a23_decode,,,,,
i_status_bits_irq_mask     ,,1,in,a23_decode,,,,,
i_status_bits_firq_mask    ,,1,in,a23_decode,,,,,
i_imm32                    ,,32,in,a23_decode,,,,,
i_imm_shift_amount         ,,5,in,a23_decode,,,,,
i_shift_imm_zero           ,,1,in,a23_decode,,,,,
i_condition                ,,4,in,a23_decode,,,,,
i_exclusive_exec           ,,1,in,a23_decode,,,,,
i_data_access_exec         ,,1,in,a23_decode,,,,,
i_rm_sel                   ,,4,in,a23_decode,,,,,
i_rds_sel                  ,,4,in,a23_decode,,,,,
i_rn_sel                   ,,4,in,a23_decode,,,,,
i_barrel_shift_amount_sel  ,,2,in,a23_decode,,,,,
i_barrel_shift_data_sel    ,,2,in,a23_decode,,,,,
i_barrel_shift_function    ,,2,in,a23_decode,,,,,
i_alu_function             ,,9,in,a23_decode,,,,,
i_multiply_function        ,,2,in,a23_decode,,,,,
i_interrupt_vector_sel     ,,3,in,a23_decode,,,,,
i_address_sel              ,,4,in,a23_decode,,,,,
i_pc_sel                   ,,2,in,a23_decode,,,,,
i_byte_enable_sel          ,,2,in,a23_decode,,,,,
i_status_bits_sel          ,,3,in,a23_decode,,,,,
i_reg_write_sel            ,,3,in,a23_decode,,,,,
i_user_mode_regs_load      ,,1,in,a23_decode,,,,,
i_user_mode_regs_store_nxt ,,1,in,a23_decode,,,,,
i_firq_not_user_mode       ,,1,in,a23_decode,,,,,
i_write_data_wen           ,,1,in,a23_decode,,,,,
i_base_address_wen         ,,1,in,a23_decode,,,,,
i_pc_wen                   ,,1,in,a23_decode,,,,,
i_reg_bank_wen             ,,15,in,a23_decode,,,,,
i_status_bits_flags_wen    ,,1,in,a23_decode,,,,,
i_status_bits_mode_wen     ,,1,in,a23_decode,,,,,
i_status_bits_irq_mask_wen ,,1,in,a23_decode,,,,,
i_status_bits_firq_mask_wen,,1,in,a23_decode,,,,,
i_copro_write_data_wen     ,,1,in,a23_decode,,,,,
