Signal Name,Field,Width,Direction,Source,Active,Type,Logical Name,Constraints,Comments
reset_b,,1,in,a23_core,L,async,,,
i_clk,,1,in,a23_core,,clk,,,
i_address,,32,in,a23_execute,H,pulse,,,
i_address_valid,,1,in,a23_execute,H,,,,
i_address_nxt,,32,in,a23_execute,H,,,,
i_write_data,,32,out,a23_execute,,bus,,,
i_write_enable,,1,out,a23_execute,,bus,,,
o_read_data,,32,out,,,bus,,,
i_priviledged,,1,out,a23_execute,H,pulse,,,
i_exclusive,,32,in,a23_execute,,bus,,,
i_byte_enable,,4,in,a23_execute,,bus,,,
i_data_access,,1,in,a23_execute,H,,,,
i_cache_enable,,1,in,a23_coprocessor,H,,,,
i_cache_flush,,1,in,a23_coprocessor,H,,,,
i_cacheable_area,,32,in,a23_coprocessor,H,,,,
i_system_rdy,,1,in,a23_core,H,bus,,,
o_fetch_stall,,1,out,,H,pulse,,,
o_wb_adr,,32,out,,,bus,,,
o_wb_sel,,4,out,,H,pulse,,,
o_wb_we,,1,out,,H,pulse,,,
i_wb_dat,,32,in,a23_core,,bus,,,
o_wb_dat,,32,out,,,bus,,,
o_wb_cyc,,1,out,,H,pulse,,,
o_wb_stb,,1,out,,H,pulse,,,
i_wb_ack,,1,in,a23_core,H,pulse,,,
i_wb_err,,1,in,a23_core,H,pulse,,,
